evNum	TimeMs	adcAtEvent	rateOverall
1	501	47	2.00
2	1186	135	1.69
3	3239	70	0.93
4	3269	65	1.22
5	4668	45	1.07
6	6164	64	0.97
7	7285	36	0.96
8	8837	112	0.91
9	9194	94	0.98
10	13523	90	0.74
11	15372	38	0.72
12	15928	37	0.75
13	16220	33	0.80
14	16450	41	0.85
15	16976	35	0.88
16	17659	104	0.91
17	18661	67	0.91
18	19185	44	0.94
19	20071	70	0.95
20	20089	49	1.00
21	21196	37	0.99
22	21268	53	1.03
23	21968	36	1.05
24	22335	65	1.07
25	22628	31	1.10
26	22664	167	1.15
27	24201	31	1.12
28	24365	34	1.15
29	24859	36	1.17
30	26866	33	1.12
31	29748	58	1.04
32	30232	83	1.06
33	31632	49	1.04
34	32206	30	1.06
35	33821	34	1.03
36	33846	45	1.06
37	34650	42	1.07
38	35966	33	1.06
39	36201	111	1.08
40	36395	99	1.10
41	39671	176	1.03
42	39985	63	1.05
43	40719	46	1.06
44	41336	38	1.06
45	41837	33	1.08
46	43236	45	1.06
47	43560	68	1.08
48	44718	33	1.07
49	48040	63	1.02
50	49060	40	1.02
51	49137	46	1.04
52	50694	105	1.03
53	50798	98	1.04
54	51206	88	1.05
55	51389	34	1.07
56	51416	30	1.09
57	53051	55	1.07
58	53657	41	1.08
59	54814	81	1.08
60	55724	30	1.08
61	56688	37	1.08
62	57424	37	1.08
63	58525	31	1.08
64	60185	107	1.06
65	60859	31	1.07
66	61870	104	1.07
67	62854	41	1.07
68	63012	83	1.08
69	63906	38	1.08
70	64289	30	1.09
71	64419	65	1.10
72	65119	36	1.11
73	66873	30	1.09
74	67110	33	1.10
75	67407	123	1.11
76	68035	34	1.12
77	69016	30	1.12
78	69855	40	1.12
79	71202	31	1.11
80	71674	58	1.12
81	71830	44	1.13
82	72087	35	1.14
83	73201	33	1.13
84	74501	169	1.13
85	76028	289	1.12
86	76320	63	1.13
87	76403	90	1.14
88	76495	36	1.15
89	76570	34	1.16
90	77931	54	1.15
91	79576	44	1.14
92	80146	47	1.15
93	80298	40	1.16
94	80713	54	1.16
95	81010	62	1.17
96	82265	36	1.17
97	83844	30	1.16
98	84601	30	1.16
99	85255	145	1.16
100	85582	60	1.17
101	86869	69	1.16
102	87699	34	1.16
103	88443	63	1.16
104	88981	64	1.17
105	90199	72	1.16
106	91014	34	1.16
107	93343	82	1.15
108	93790	34	1.15
109	94665	99	1.15
110	95181	70	1.16
111	95624	77	1.16
112	95752	35	1.17
113	96302	58	1.17
114	97310	112	1.17
115	97421	30	1.18
116	98020	124	1.18
117	99788	104	1.17
118	100021	39	1.18
119	100510	60	1.18
120	100649	44	1.19
121	101065	77	1.20
122	102172	37	1.19
123	103315	48	1.19
124	103439	31	1.20
125	104123	69	1.20
126	105526	38	1.19
127	105777	32	1.20
128	106464	35	1.20
129	106939	116	1.21
130	107045	32	1.21
131	107255	45	1.22
132	110116	85	1.20
133	110402	60	1.20
134	113167	32	1.18
135	114547	42	1.18
136	115228	112	1.18
137	115375	109	1.19
138	117349	30	1.18
139	119534	66	1.16
140	120830	104	1.16
141	121173	48	1.16
142	121587	135	1.17
143	121999	31	1.17
144	122439	73	1.18
145	123885	44	1.17
146	124419	31	1.17
147	124787	33	1.18
148	126660	36	1.17
149	127075	35	1.17
150	127426	34	1.18
151	127500	33	1.18
152	127996	47	1.19
153	128364	43	1.19
154	132070	39	1.17
155	134997	33	1.15
156	135301	52	1.15
157	135984	37	1.15
158	136482	46	1.16
159	137792	64	1.15
160	138054	49	1.16
161	139953	40	1.15
162	140589	37	1.15
163	140782	32	1.16
164	140947	35	1.16
165	141126	70	1.17
166	145162	36	1.14
167	145720	68	1.15
168	145945	44	1.15
169	146144	86	1.16
170	147438	34	1.15
171	147647	82	1.16
172	147765	152	1.16
173	148810	31	1.16
174	148939	32	1.17
175	149881	38	1.17
176	150645	40	1.17
177	150731	75	1.17
178	153461	37	1.16
179	153807	45	1.16
180	153930	50	1.17
181	154158	30	1.17
182	154803	34	1.18
183	154930	42	1.18
184	160388	48	1.15
185	163014	100	1.13
186	163506	219	1.14
187	163737	106	1.14
188	163763	34	1.15
189	164329	35	1.15
190	165537	30	1.15
191	167101	39	1.14
192	167482	32	1.15
193	167539	53	1.15
194	167628	36	1.16
195	168209	41	1.16
196	168919	87	1.16
197	170361	30	1.16
198	170383	74	1.16
199	171828	99	1.16
200	171876	103	1.16
201	171987	71	1.17
202	172420	30	1.17
203	172663	33	1.18
204	172957	56	1.18
205	173056	54	1.18
206	173275	32	1.19
207	173307	34	1.19
208	174181	78	1.19
209	177486	378	1.18
210	177532	41	1.18
211	177661	32	1.19
212	178763	58	1.19
213	179325	73	1.19
214	179380	107	1.19
215	180782	38	1.19
216	181204	115	1.19
217	181378	109	1.20
218	183479	44	1.19
219	187167	40	1.17
220	187214	159	1.18
221	188444	45	1.17
222	189032	47	1.17
223	191839	57	1.16
224	193155	36	1.16
225	193839	56	1.16
226	194795	88	1.16
227	195183	71	1.16
228	195318	46	1.17
229	195451	42	1.17
230	197323	115	1.17
231	197787	60	1.17
232	198199	247	1.17
233	198328	224	1.17
234	198359	39	1.18
235	199644	55	1.18
236	200533	63	1.18
237	202120	32	1.17
238	202790	40	1.17
239	202986	58	1.18
240	203113	34	1.18
241	204421	78	1.18
242	205188	36	1.18
243	205954	51	1.18
244	206139	30	1.18
245	206408	48	1.19
246	209022	52	1.18
247	209487	87	1.18
248	211774	45	1.17
249	212056	32	1.17
250	212154	60	1.18
251	212914	39	1.18
252	213221	80	1.18
253	213457	36	1.19
254	213691	32	1.19
255	213793	36	1.19
256	214317	62	1.19
257	215341	71	1.19
258	215645	36	1.20
259	215847	219	1.20
260	216875	90	1.20
261	217774	30	1.20
262	218591	71	1.20
263	219215	46	1.20
264	219412	38	1.20
265	220838	44	1.20
266	221347	60	1.20
267	221879	32	1.20
268	221955	40	1.21
269	222504	37	1.21
270	222569	35	1.21
271	223407	62	1.21
272	224192	36	1.21
273	224771	43	1.21
274	224925	125	1.22
275	225180	32	1.22
276	225759	40	1.22
277	225829	64	1.23
278	226229	86	1.23
279	231253	41	1.21
280	232550	42	1.20
281	233081	88	1.21
282	234276	31	1.20
283	235936	120	1.20
284	237439	45	1.20
285	237467	40	1.20
286	237612	32	1.20
287	237687	46	1.21
288	237885	144	1.21
289	238558	78	1.21
290	238905	59	1.21
291	239626	46	1.21
292	240845	81	1.21
293	241025	35	1.22
294	241660	53	1.22
295	242220	48	1.22
296	244416	40	1.21
297	244533	43	1.21
298	248252	39	1.20
299	248355	168	1.20
300	250022	49	1.20
301	250909	34	1.20
302	250934	49	1.20
303	251469	37	1.20
304	251658	60	1.21
305	252099	41	1.21
306	252246	53	1.21
307	252387	51	1.22
308	252420	64	1.22
309	253393	37	1.22
310	253516	70	1.22
311	256369	31	1.21
312	256950	60	1.21
313	257696	53	1.21
314	259894	94	1.21
315	261048	31	1.21
316	263514	37	1.20
317	264078	82	1.20
318	264503	41	1.20
319	264566	73	1.21
320	267359	114	1.20
321	267574	52	1.20
322	267980	56	1.20
323	268644	38	1.20
324	268908	43	1.20
325	271576	34	1.20
326	271727	30	1.20
327	271974	48	1.20
328	272805	38	1.20
329	274283	43	1.20
330	275090	124	1.20
331	275909	41	1.20
332	276531	88	1.20
333	279764	60	1.19
334	280020	80	1.19
335	283061	39	1.18
336	283244	40	1.19
337	284173	124	1.19
338	284262	104	1.19
339	284558	38	1.19
340	284906	55	1.19
341	284971	35	1.20
342	285123	32	1.20
343	285172	70	1.20
344	285229	37	1.21
345	286415	76	1.20
346	286683	56	1.21
347	288991	206	1.20
348	289032	33	1.20
349	290642	173	1.20
350	291460	30	1.20
351	292056	119	1.20
352	292677	31	1.20
353	295502	34	1.19
354	296047	43	1.20
355	296237	72	1.20
356	296708	47	1.20
357	298064	60	1.20
358	299283	56	1.20
359	300048	62	1.20
360	301135	55	1.20
361	301339	61	1.20
362	301405	394	1.20
363	302601	37	1.20
364	303996	52	1.20
365	305260	34	1.20
366	306536	92	1.19
367	307943	78	1.19
368	308109	42	1.19
369	308187	36	1.20
370	308975	114	1.20
371	309164	30	1.20
372	310604	73	1.20
373	310683	75	1.20
374	311039	32	1.20
375	312265	235	1.20
376	315373	39	1.19
377	319557	126	1.18
378	319781	145	1.18
379	320013	32	1.18
380	320404	153	1.19
381	320519	42	1.19
382	322273	55	1.19
383	322374	40	1.19
384	322667	78	1.19
385	324377	126	1.19
386	325161	70	1.19
387	325303	128	1.19
388	325406	47	1.19
389	325447	55	1.20
390	325890	48	1.20
391	326247	31	1.20
392	326532	43	1.20
393	328924	42	1.19
394	329024	62	1.20
395	330157	47	1.20
396	332481	46	1.19
397	332855	46	1.19
398	334011	71	1.19
399	335046	39	1.19
400	336090	86	1.19
401	336980	41	1.19
402	338467	30	1.19
403	338566	40	1.19
404	338860	49	1.19
405	339676	51	1.19
406	339756	49	1.19
407	340409	100	1.20
408	341245	123	1.20
409	341610	189	1.20
410	341687	406	1.20
411	341839	237	1.20
412	341892	57	1.21
413	341912	46	1.21
414	343794	40	1.20
415	344269	57	1.21
416	345872	58	1.20
417	347356	33	1.20
418	347409	32	1.20
419	348933	30	1.20
420	349417	31	1.20
421	349681	31	1.20
422	351892	44	1.20
423	352243	37	1.20
424	353790	43	1.20
425	355862	59	1.19
426	355940	106	1.20
427	358059	37	1.19
428	358516	36	1.19
429	361458	78	1.19
430	362697	65	1.19
431	363939	31	1.18
432	364035	43	1.19
433	365269	47	1.19
434	366275	37	1.18
435	366688	52	1.19
436	367348	41	1.19
437	367550	42	1.19
438	368553	34	1.19
439	369737	56	1.19
440	369880	51	1.19
441	370314	34	1.19
442	370752	162	1.19
443	370887	37	1.19
444	370937	115	1.20
445	371464	33	1.20
446	371490	79	1.20
447	372109	81	1.20
448	372241	129	1.20
449	372623	30	1.20
450	372849	53	1.21
451	374038	30	1.21
452	376159	50	1.20
453	377587	30	1.20
454	378982	207	1.20
455	380128	35	1.20
456	381844	94	1.19
457	381946	34	1.20
458	382078	39	1.20
459	382441	61	1.20
460	385004	79	1.19
461	385528	36	1.20
462	386308	79	1.20
463	387051	117	1.20
464	389145	70	1.19
465	389578	61	1.19
466	391077	66	1.19
467	391443	40	1.19
468	392485	70	1.19
469	392640	34	1.19
470	393366	39	1.19
471	393784	30	1.20
472	395797	34	1.19
473	397221	44	1.19
474	398569	32	1.19
475	401078	64	1.18
476	401990	62	1.18
477	403406	54	1.18
478	403448	43	1.18
479	404832	34	1.18
480	405682	164	1.18
481	407130	62	1.18
482	408379	44	1.18
483	408462	41	1.18
484	408601	40	1.18
485	409124	32	1.19
486	409193	64	1.19
487	409808	184	1.19
488	410061	46	1.19
489	410301	41	1.19
490	410449	45	1.19
491	410618	32	1.20
492	410650	47	1.20
493	410802	41	1.20
494	411306	46	1.20
495	411823	32	1.20
496	412336	49	1.20
497	413080	35	1.20
498	413586	71	1.20
499	415083	57	1.20
500	415934	63	1.20
501	417644	34	1.20
502	417861	114	1.20
503	417931	170	1.20
504	418096	83	1.21
505	419189	30	1.20
506	419800	40	1.21
507	421948	41	1.20
508	424060	53	1.20
509	425368	31	1.20
510	426631	71	1.20
511	429095	38	1.19
512	429216	34	1.19
513	430046	125	1.19
514	434116	58	1.18
515	436023	31	1.18
516	436295	91	1.18
517	436405	122	1.18
518	436484	65	1.19
519	436935	54	1.19
520	436959	33	1.19
521	437488	32	1.19
522	437867	34	1.19
523	440129	191	1.19
524	440907	39	1.19
525	442466	168	1.19
526	442847	71	1.19
527	444699	45	1.19
528	445958	32	1.18
529	446311	90	1.19
530	448813	40	1.18
531	449524	63	1.18
532	449764	35	1.18
533	449893	55	1.18
534	449907	73	1.19
535	450207	36	1.19
536	451733	53	1.19
537	452259	59	1.19
538	453769	37	1.19
539	453801	31	1.19
540	453898	30	1.19
541	455274	86	1.19
542	456125	92	1.19
543	457126	30	1.19
544	457631	30	1.19
545	457835	36	1.19
546	457977	299	1.19
547	460723	36	1.19
548	461227	39	1.19
549	465547	63	1.18
550	466677	41	1.18
551	467125	34	1.18
552	467410	66	1.18
553	467430	45	1.18
554	467472	80	1.19
555	467527	100	1.19
556	469195	43	1.19
557	469812	79	1.19
558	471131	40	1.18
559	471739	34	1.18
560	471823	31	1.19
561	474527	34	1.18
562	475501	51	1.18
563	476117	159	1.18
564	476250	68	1.18
565	477008	33	1.18
566	477754	41	1.18
567	477907	56	1.19
568	478012	104	1.19
569	479288	88	1.19
570	481402	35	1.18
571	482014	30	1.18
572	482068	50	1.19
573	482179	30	1.19
574	482826	63	1.19
575	483122	32	1.19
576	483696	81	1.19
577	484160	31	1.19
578	484743	43	1.19
579	486262	37	1.19
580	486993	238	1.19
