evNum	picoTimeMs	adcAtEvent	rateOverall
1	804	21	1.24
2	3071	26	0.65
3	3164	36	0.95
4	4205	28	0.95
5	4292	25	1.16
6	4506	110	1.33
7	4774	32	1.47
8	5010	32	1.60
9	5165	51	1.74
10	5242	20	1.91
11	6166	43	1.78
12	6360	43	1.89
13	6496	20	2.00
14	7319	21	1.91
15	8513	23	1.76
16	9600	25	1.67
17	10066	20	1.69
18	11871	106	1.52
19	12068	26	1.57
20	12291	61	1.63
21	12632	41	1.66
22	12819	55	1.72
23	14500	26	1.59
24	15011	39	1.60
25	15041	109	1.66
26	15078	38	1.72
27	15277	49	1.77
28	15334	53	1.83
29	15559	56	1.86
30	16511	66	1.82
31	16786	32	1.85
32	17159	45	1.86
33	17453	32	1.89
34	18162	21	1.87
35	19775	91	1.77
36	19881	29	1.81
37	20264	29	1.83
38	21837	67	1.74
39	23752	27	1.64
40	23943	52	1.67
41	24461	27	1.68
42	24795	28	1.69
43	26072	25	1.65
44	26689	29	1.65
45	26861	41	1.68
46	27142	118	1.69
47	27314	112	1.72
48	28037	48	1.71
49	28214	26	1.74
50	28228	69	1.77
51	29448	24	1.73
52	29802	34	1.74
53	29876	86	1.77
54	30257	26	1.78
55	30757	68	1.79
56	31052	34	1.80
57	31205	42	1.83
58	31648	28	1.83
59	32667	28	1.81
60	33421	22	1.80
61	33744	21	1.81
62	33904	208	1.83
63	34227	20	1.84
64	34572	21	1.85
65	35194	29	1.85
66	35476	61	1.86
67	35519	28	1.89
68	35624	21	1.91
69	35842	41	1.93
70	36286	25	1.93
71	36466	22	1.95
72	37437	32	1.92
73	37763	61	1.93
74	38055	24	1.94
75	38124	30	1.97
76	38903	20	1.95
77	39178	43	1.97
78	39828	26	1.96
79	39859	25	1.98
80	40015	55	2.00
81	40066	21	2.02
82	41108	25	1.99
83	41573	80	2.00
84	41684	27	2.02
85	41931	30	2.03
86	42756	34	2.01
87	43055	54	2.02
88	43306	34	2.03
89	43697	31	2.04
90	43967	42	2.05
91	44061	23	2.07
92	45148	24	2.04
93	46097	72	2.02
94	46844	22	2.01
95	47199	114	2.01
96	47679	42	2.01
97	48144	40	2.01
98	48516	22	2.02
99	48927	66	2.02
100	49239	20	2.03
101	50226	25	2.01
102	51068	24	2.00
103	51486	22	2.00
104	51600	46	2.02
105	51731	26	2.03
106	52012	20	2.04
107	52831	50	2.03
108	54090	143	2.00
109	54347	26	2.01
110	55511	71	1.98
111	55824	20	1.99
112	55897	51	2.00
113	56800	82	1.99
114	58001	33	1.97
115	58229	24	1.97
116	58293	36	1.99
117	59065	31	1.98
118	60034	39	1.97
119	60254	31	1.97
120	60792	24	1.97
121	62077	24	1.95
122	62528	26	1.95
123	63168	69	1.95
124	63274	93	1.96
125	63449	23	1.97
126	63620	68	1.98
127	64072	48	1.98
128	64279	20	1.99
129	64707	20	1.99
130	64750	27	2.01
131	64962	75	2.02
132	65163	21	2.03
133	65464	26	2.03
134	65639	50	2.04
135	65973	34	2.05
136	66117	64	2.06
137	67264	31	2.04
138	67402	32	2.05
139	67494	29	2.06
140	67659	45	2.07
141	67965	61	2.07
142	68311	20	2.08
143	68397	22	2.09
144	68843	60	2.09
145	68991	36	2.10
146	69113	24	2.11
147	69631	81	2.11
148	69747	42	2.12
149	70941	41	2.10
150	70968	43	2.11
151	71243	21	2.12
152	71687	21	2.12
153	71889	29	2.13
154	72149	32	2.13
155	72241	41	2.15
156	72311	133	2.16
157	72843	30	2.16
158	73224	23	2.16
