evNum	picoTimeMs	adcAtEvent	rateOverall
1	1239	35	0.81
2	1580	36	1.27
3	1997	33	1.50
4	2994	36	1.34
5	3247	221	1.54
6	3713	33	1.62
7	5136	24	1.36
8	5297	27	1.51
9	5409	70	1.66
10	6036	27	1.66
11	6133	30	1.79
12	6504	36	1.85
13	7456	22	1.74
14	7512	22	1.86
15	8048	23	1.86
16	8207	118	1.95
17	8681	90	1.96
18	9118	56	1.97
19	9364	76	2.03
20	10227	43	1.96
21	10545	20	1.99
22	12263	106	1.79
23	12468	25	1.84
24	12702	31	1.89
25	12903	24	1.94
26	13119	62	1.98
27	14442	81	1.87
28	14500	90	1.93
29	14960	42	1.94
30	15073	31	1.99
31	15679	36	1.98
32	16242	40	1.97
33	16330	35	2.02
34	16600	50	2.05
35	16730	20	2.09
36	17471	26	2.06
37	18379	62	2.01
38	18509	54	2.05
39	18665	22	2.09
40	18836	20	2.12
41	19012	21	2.16
42	19163	40	2.19
43	19262	72	2.23
44	20653	122	2.13
45	21332	42	2.11
46	21500	26	2.14
47	22051	53	2.13
48	22345	26	2.15
49	22544	201	2.17
50	23294	43	2.15
51	24005	31	2.12
52	24276	296	2.14
53	25091	30	2.11
54	25968	44	2.08
55	27296	33	2.01
56	27344	25	2.05
57	27497	39	2.07
58	27735	22	2.09
59	27919	26	2.11
60	28643	48	2.09
61	28796	47	2.12
62	28871	38	2.15
63	28980	198	2.17
64	29108	21	2.20
65	29389	24	2.21
66	30669	272	2.15
67	31770	25	2.11
68	33837	24	2.01
69	34342	41	2.01
70	34454	30	2.03
71	34479	20	2.06
72	34783	20	2.07
73	34950	32	2.09
74	35257	23	2.10
75	35378	21	2.12
76	36054	28	2.11
77	37058	31	2.08
78	37178	28	2.10
79	37286	51	2.12
80	37561	51	2.13
81	38413	50	2.11
82	38520	39	2.13
83	39773	56	2.09
84	40493	28	2.07
85	40908	41	2.08
86	41473	61	2.07
87	42787	21	2.03
88	43117	91	2.04
89	43408	23	2.05
90	44491	58	2.02
91	46702	52	1.95
92	46785	22	1.97
93	46985	20	1.98
94	47061	69	2.00
95	47412	27	2.00
96	47958	20	2.00
97	48101	148	2.02
98	49253	42	1.99
99	49377	30	2.00
100	50031	27	2.00
101	50937	28	1.98
102	51290	20	1.99
103	51439	22	2.00
104	52151	22	1.99
105	54512	53	1.93
106	54700	37	1.94
107	55005	32	1.95
108	55102	28	1.96
109	55195	25	1.97
110	55413	22	1.99
111	55828	52	1.99
112	56285	59	1.99
113	56650	168	1.99
114	56694	40	2.01
115	57212	35	2.01
116	57453	21	2.02
117	57571	34	2.03
118	57768	20	2.04
119	58806	55	2.02
120	59482	58	2.02
121	60050	251	2.01
122	60216	46	2.03
123	60687	25	2.03
124	61146	21	2.03
125	61457	25	2.03
126	61605	24	2.05
127	61852	27	2.05
128	62365	31	2.05
129	63114	20	2.04
130	64267	28	2.02
131	64628	37	2.03
132	64687	111	2.04
133	64791	22	2.05
134	65038	39	2.06
135	65490	25	2.06
136	66143	28	2.06
137	67527	31	2.03
138	67745	36	2.04
139	68286	38	2.04
140	68310	25	2.05
141	68716	42	2.05
142	68926	30	2.06
143	69769	20	2.05
144	69983	24	2.06
145	71372	57	2.03
146	71515	24	2.04
147	71807	21	2.05
148	73901	21	2.00
149	74107	49	2.01
150	74789	28	2.01
151	75549	22	2.00
152	75664	28	2.01
153	75689	48	2.02
154	75817	25	2.03
155	75972	24	2.04
156	76569	122	2.04
157	76590	48	2.05
158	76855	33	2.06
159	77199	28	2.06
160	77333	33	2.07
161	77653	22	2.07
162	78529	67	2.06
163	79512	20	2.05
164	79926	32	2.05
165	80808	30	2.04
166	80886	52	2.05
167	81142	64	2.06
168	81787	26	2.05
169	81823	35	2.07
170	81997	55	2.07
171	82701	20	2.07
172	82728	25	2.08
173	82873	63	2.09
174	82952	28	2.10
175	83345	20	2.10
176	83493	25	2.11
177	83698	49	2.11
178	84867	50	2.10
179	85253	120	2.10
180	85363	39	2.11
181	86478	49	2.09
182	87142	30	2.09
183	87602	45	2.09
184	87903	20	2.09
185	88040	31	2.10
186	88885	20	2.09
187	88951	29	2.10
188	90746	25	2.07
189	92430	84	2.04
190	93680	23	2.03
191	94116	21	2.03
192	94168	32	2.04
193	94698	43	2.04
194	95401	76	2.03
195	95586	26	2.04
196	95871	182	2.04
197	95899	20	2.05
198	95961	36	2.06
