evNum	picoTimeMs	adcAtEvent	rateOverall 
1	276	32	3.62
2	817	46	2.45
3	955	39	3.14
4	1187	41	3.37
5	3265	46	1.53
6	4054	41	1.48
7	5108	194	1.37
8	5970	42	1.34
9	6021	63	1.49
10	6201	34	1.61
11	7392	35	1.49
12	8672	97	1.38
13	9686	73	1.34
14	9938	33	1.41
15	12333	42	1.22
16	12503	40	1.28
17	13371	81	1.27
18	13902	66	1.29
19	14431	56	1.32
20	14591	61	1.37
21	16442	38	1.28
22	16929	38	1.30
23	17512	83	1.31
24	18865	48	1.27
25	18914	50	1.32
26	20023	30	1.30
27	20555	94	1.31
28	25257	39	1.11
29	25442	60	1.14
30	27742	33	1.08
1	785	64	1.27
2	1127	33	1.77
3	1369	57	2.19
4	1494	41	2.68
5	2241	170	2.23
6	2598	173	2.31
7	5052	47	1.39
8	7085	81	1.13
9	7569	47	1.19
10	9907	91	1.01
11	10641	41	1.03
12	10834	57	1.11
13	10987	33	1.18
14	11126	126	1.26
15	11304	78	1.33
16	11705	32	1.37
17	12091	33	1.41
18	13476	71	1.34
19	13710	31	1.39
20	14397	61	1.39
21	15451	42	1.36
22	17918	74	1.23
23	18356	38	1.25
24	19624	37	1.22
25	21042	51	1.19
26	25675	52	1.01
27	25752	47	1.05
28	26929	51	1.04
29	27327	52	1.06
30	27454	42	1.09
31	29207	35	1.06
32	29453	32	1.09
33	29512	69	1.12
34	29753	73	1.14
35	29949	41	1.17
36	30509	34	1.18
37	32140	30	1.15
38	32516	65	1.17
39	32781	41	1.19
40	33198	33	1.20
41	33252	30	1.23
42	33308	32	1.26
43	33850	177	1.27
44	34872	92	1.26
45	35019	80	1.29
46	37120	54	1.24
47	37436	62	1.26
48	39834	36	1.21
49	43845	70	1.12
50	44072	48	1.13
51	44413	33	1.15
52	45696	46	1.14
53	45746	33	1.16
54	46933	50	1.15
55	48370	59	1.14
56	50362	94	1.11
57	50432	40	1.13
58	51009	172	1.14
59	51679	36	1.14
60	52607	43	1.14
61	53698	86	1.14
62	53907	101	1.15
63	53974	35	1.17
64	54253	81	1.18
65	54292	34	1.20
66	54967	51	1.20
67	55245	113	1.21
68	55313	54	1.23
69	57597	58	1.20
70	57692	122	1.21
71	58367	34	1.22
72	58381	39	1.23
73	59301	32	1.23
74	60491	40	1.22
75	60784	53	1.23
76	61744	31	1.23
77	61968	53	1.24
78	62389	30	1.25
79	63928	79	1.24
80	63986	35	1.25
81	64044	60	1.26
82	64628	43	1.27
83	66102	32	1.26
84	67205	41	1.25
85	67271	42	1.26
86	68254	59	1.26
87	72554	128	1.20
88	72866	50	1.21
89	73297	54	1.21
90	73833	34	1.22
91	73968	51	1.23
92	74142	293	1.24
93	75475	72	1.23
94	76105	37	1.24
95	76227	122	1.25
96	76463	236	1.26
97	77371	38	1.25
98	77695	62	1.26
99	79410	95	1.25
100	80654	31	1.24
101	81100	37	1.25
102	81342	52	1.25
103	81527	36	1.26
104	83004	39	1.25
105	83089	32	1.26
106	83333	33	1.27
107	84378	49	1.27
108	86260	37	1.25
109	89365	38	1.22
110	90748	103	1.21
111	90890	36	1.22
112	91614	55	1.22
113	92752	39	1.22
114	92844	62	1.23
115	93100	103	1.24
116	95577	53	1.21
117	97165	59	1.20
118	98246	32	1.20
119	100452	30	1.18
120	100822	89	1.19
121	102246	38	1.18
122	103891	36	1.17
123	104641	302	1.18
124	104715	63	1.18
